[2021-09-24 11:47:59,710] INFO     root         Serving GET for script/moment.js
[2021-09-24 11:47:59,710] INFO     root         Running in e:\Development\git\projects\personal\piclock\src\python\..\web\
[2021-09-24 11:47:59,711] INFO     root         Sending /script/moment.js - type application/javascript
[2021-09-24 11:47:59,713] INFO     root         Serving GET for script/app.js
[2021-09-24 11:47:59,713] INFO     root         Running in e:\Development\git\projects\personal\piclock\src\python\..\web\
[2021-09-24 11:47:59,714] INFO     root         Sending /script/app.js - type application/javascript
[2021-09-24 11:48:00,037] INFO     root         Serving GET for img/bg-1.jpg
[2021-09-24 11:48:00,038] INFO     root         Running in e:\Development\git\projects\personal\piclock\src\python\..\web\
[2021-09-24 11:48:00,038] INFO     root         Sending /img/bg-1.jpg - type image/jpg
[2021-09-24 11:48:00,290] INFO     root         Serving GET for favicon.ico
[2021-09-24 11:48:00,290] INFO     root         Running in e:\Development\git\projects\personal\piclock\src\python\..\web\
